"fecha","linea","n"
2021-02-15,"BSAS_LINEA_501G",64550
2021-02-15,"FFCC ROCA",95576
2021-02-15,"FFCC SAR",27938
2021-02-16,"BSAS_LINEA_203",54136
2021-02-16,"BSAS_LINEA_501G",63267
2021-02-16,"FFCC ROCA",91826
2021-02-16,"FFCC SAR",27027
2021-02-17,"BSAS_LINEA_203",82185
2021-02-17,"BSAS_LINEA_501G",119905
2021-02-17,"FFCC ROCA",279485
2021-02-17,"FFCC SAR",145249
2021-02-18,"BSAS_LINEA_203",78140
2021-02-18,"BSAS_LINEA_501G",114884
2021-02-18,"FFCC ROCA",282621
2021-02-18,"FFCC SAR",125285
2021-02-19,"BSAS_LINEA_203",81721
2021-02-19,"BSAS_LINEA_501G",122938
2021-02-19,"FFCC ROCA",278318
2021-02-19,"FFCC SAR",120663
2021-02-20,"BSAS_LINEA_203",64323
2021-02-20,"BSAS_LINEA_501G",100797
2021-02-20,"FFCC ROCA",166503
2021-02-20,"FFCC SAR",32401
2021-02-21,"BSAS_LINEA_203",45542
2021-02-21,"BSAS_LINEA_501G",56917
2021-02-21,"FFCC ROCA",66730
2021-02-21,"FFCC SAR",7419
2021-02-22,"BSAS_LINEA_203",65851
2021-02-22,"BSAS_LINEA_501G",93746
2021-02-22,"FFCC ROCA",195509
2021-02-22,"FFCC SAR",109328
2021-02-23,"BSAS_LINEA_203",79090
2021-02-23,"BSAS_LINEA_501G",119419
2021-02-23,"FFCC ROCA",276265
2021-02-23,"FFCC SAR",136284
2021-02-24,"BSAS_LINEA_203",79065
2021-02-24,"BSAS_LINEA_501G",116815
2021-02-24,"FFCC ROCA",275794
2021-02-24,"FFCC SAR",139907
2021-02-25,"BSAS_LINEA_203",80596
2021-02-25,"BSAS_LINEA_501G",113281
2021-02-25,"FFCC ROCA",275421
2021-02-25,"FFCC SAR",125810
2021-02-26,"BSAS_LINEA_203",87886
2021-02-26,"BSAS_LINEA_501G",24
2021-02-26,"FFCC ROCA",284160
2021-02-26,"FFCC SAR",125584
2021-02-27,"BSAS_LINEA_203",60664
2021-02-27,"BSAS_LINEA_501G",99940
